0,0,name label thing,person agent thing,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,1,financial product product owl thing,person function activity,0.0,0.0,0.0
0,2,sport team organisation agent thing,populate place settlement region place spatial thing,0.2,0.14285714285714285,0.16666666666666666
0,3,financial product product owl thing,agent thing,0.2,0.5,0.28571428571428575
0,4,sport team organisation agent thing,constituency populate place place thing,0.2,0.2,0.20000000000000004
0,5,sport team organisation agent thing,region populate place place thing,0.2,0.2,0.20000000000000004
1,0,artist person agent,person agent thing,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,1,name label thing,person agent thing,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,2,populate place place spatial thing,city settlement populate place place spatial thing,1.0,0.7142857142857143,0.8333333333333333
2,0,name label thing,lake body water natural place place thing,0.3333333333333333,0.14285714285714285,0.2
2,1,weight physical quantity quantity owl thing,latitude angle quantity physical quantity property thing,0.6666666666666666,0.5714285714285714,0.6153846153846153
2,2,weight physical quantity quantity owl thing,longitude angular measure measure quantity physical thing thing,0.5,0.375,0.42857142857142855
2,3,military rank rank person function role social role abstract thing,physical quantity quantity measure owl thing,0.1,0.16666666666666666,0.125
2,4,name label thing,lake body water natural place place spatial thing,0.3333333333333333,0.125,0.18181818181818182
3,0,position person function agent function function socially construct object abstraction thing,person agent thing,0.2727272727272727,1.0,0.42857142857142855
3,1,county administrative region region populate place place thing,person agent thing,0.125,0.3333333333333333,0.18181818181818182
4,0,name label thing,person agent thing,0.3333333333333333,0.3333333333333333,0.3333333333333333
4,1,sport team organisation agent thing,company organisation agent thing,0.6,0.75,0.6666666666666665
4,2,county administrative region region populate place place thing,city settlement populate place place spatial thing,0.5,0.5714285714285714,0.5333333333333333
5,0,name label thing,message document work thing,0.3333333333333333,0.25,0.28571428571428575
5,1,time period periodical work thing,time period periodical work thing,1.0,1.0,1.0
5,2,time period periodical work thing,month time period period time time interval thing,0.8,0.5,0.6153846153846154
5,3,age property thing,date time period interval thing,0.3333333333333333,0.2,0.25
5,4,time period period time time interval thing,time period periodical literature work document physical thing thing,0.5714285714285714,0.4444444444444444,0.5
6,0,name label thing,person agent thing,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,1,artist person agent,educational institution organisation agent thing,0.3333333333333333,0.2,0.25
6,2,year time period period time time interval temporal entity,year time period interval thing,0.4444444444444444,0.8,0.5714285714285714
6,3,position person function agent function function socially construct object abstraction thing,athlete person agent system thing,0.2727272727272727,0.6,0.37499999999999994
6,4,name label thing,thing,0.3333333333333333,1.0,0.5
6,6,military rank rank person function role social role abstract thing,athlete person agent thing,0.2,0.5,0.28571428571428575
6,7,military rank rank person function role social role abstract thing,athlete person agent thing,0.2,0.5,0.28571428571428575
6,8,weight physical quantity quantity owl thing,thing,0.16666666666666666,1.0,0.2857142857142857
6,9,play work creative work thing,basketball player stat athlete person agent thing,0.2,0.14285714285714285,0.16666666666666666
7,0,populate place place spatial thing,document work creative work thing,0.2,0.2,0.20000000000000004
7,1,command activity,keyword thing,0.0,0.0,0.0
8,0,city settlement populate place place spatial thing,organisation societal system social system agent,0.0,0.0,0.0
8,1,name label thing,organisation societal system social system agent,0.0,0.0,0.0
9,0,year time period period time time interval temporal entity,date time period periodical work thing,0.3333333333333333,0.5,0.4
9,1,name label thing,organisation agent social person person thing,0.3333333333333333,0.16666666666666666,0.2222222222222222
9,2,country populate place place thing,country code populate place place thing,1.0,0.8333333333333334,0.9090909090909091
9,3,sport team organisation agent thing,company organisation agent thing,0.6,0.75,0.6666666666666665
9,4,agent person organisation,company organisation agent,0.6666666666666666,0.6666666666666666,0.6666666666666666
9,5,populate place place spatial thing,security incident event societal event activity happen occurrence situation thing,0.2,0.1,0.13333333333333333
9,6,thing,work thing,1.0,0.5,0.6666666666666666
9,7,populate place place spatial thing,data type thing,0.2,0.3333333333333333,0.25
9,8,populate place place spatial thing,place location,0.2,0.5,0.28571428571428575
9,9,condition thing,agent person organisation,0.0,0.0,0.0
10,0,name label thing,work thing,0.3333333333333333,0.5,0.4
10,1,album musical work work thing,artist person agent,0.0,0.0,0.0
10,2,time period period time time interval thing,play count work creative work,0.0,0.0,0.0
11,0,populate place place spatial thing,place populate place region administrative region country state,0.6,0.375,0.4615384615384615
11,1,time period period time time interval thing,count person agent,0.0,0.0,0.0
11,2,time period period time time interval thing,election result result event societal event work thing,0.14285714285714285,0.125,0.13333333333333333
11,3,elevation place spatial thing,population place populate place thing,0.5,0.4,0.4444444444444445
12,0,thing,organisation agent,0.0,0.0,0.0
12,1,populate place place spatial thing,rat work product physical thing thing,0.2,0.16666666666666666,0.1818181818181818
12,2,populate place place spatial thing,election result result event societal event work thing,0.2,0.125,0.15384615384615385
13,0,album musical work work thing,dive individual sport summer sport olympic sport sport activity,0.0,0.0,0.0
13,1,gender person social person agent,gender person social person agent social personality abstraction thing,1.0,0.5555555555555556,0.7142857142857143
13,2,artist person agent,person agent thing,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,3,year time period period time time interval temporal entity,year time period interval thing,0.4444444444444444,0.8,0.5714285714285714
